tweet_id,tweet_text,polarity
47,"RT @Airbornex82nd: What a great story ! This “ Pittie “ is a Hero..
Mans best Friend , our Pups never let us down , “ Darby deserves a nice…",positive
48,"@adriennerosemio Yeyeye! That is the Ostentatious Owl-Bear Gal, or just Hero, as I started calling her. A vigilante… https://t.co/w5OnF6CGfj",negative
49,Honestly great news if it means we get less super hero movies. https://t.co/2N6aGWyZQY,positive
50,"@AmphibiArik What a hero!

Heck I'd take all the clamitans shots you have from anywhere just to see what you have!",negative
51,RT @AMIT_GUJJU: People who are comparing Chidambaram with Amit Shah and calling it vendetta should remember one thing Amit Shah never ran a…,negative
52,@TotaLuv2Tweet @MichaelAvenatti Here is a real hero https://t.co/6c3oK6dzu9,neutral
53,"Get nice drops on https://t.co/Dmj9Cybg0k ONLY!!
 + Hero mode which gives 100% of website commissions ($0.50 per ke… https://t.co/2VT9JE0aPq",neutral
54,RT @JustAnimeVibes: My hero eyes are pretty cool https://t.co/lakcUvNdXR,positive
55,RT @NeedMoreDaryl: My other hero #FearTWD #JohnDorie https://t.co/pt495NSDdk,positive
56,RT @rolesvilleNC1: Proud to partner with @RaleighWake and @waketechcc to bring great educational opportunities for businesses to Rolesville…,positive
57,@TotaLuv2Tweet @Twitter This comment from a person who called Avenatti a hero,positive
58,"""...will keep you captivated right along with Sammy as he 
unfolds his story about a horrific battle with cancer.""… https://t.co/sdGFCzolSq",negative
59,RT @SpotTheLoon2010: The hero we never knew we needed https://t.co/Jus5xzuhvS,positive
60,"RT @buse_chris: THE LAST DANCE
You are all invited. And please leave a comment.
https://t.co/boTKlhJZ62 https://t.co/WGcNtuy50z",positive
61,"RT @Airbornex82nd: What a great story ! This “ Pittie “ is a Hero..
Mans best Friend , our Pups never let us down , “ Darby deserves a nice…",positive
62,"RT @Bitchinville: There’s a true hero out there in New Orleans this morning. Whoever you are, I salute you! https://t.co/se8ZfndtZZ",positive
63,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
64,"RT @SK_Trends: Here the special tag for our annan(our hero, our inspiration, our motivator) 🎆🏆

#NammaVeettuPillaiSK  🌟😍

Lets celebrate fo…",positive
65,Of all movies y'all pick Spider-Man the best super hero of all time https://t.co/vIdFkbje94,positive
66,jo is so tiny and a little bean and fits perfectly with hero my perfect hessa ok i’m done now https://t.co/rIPLCAnDWe,positive
67,"RT @BBCR1: “To be able to have a song with @Eminem and @50cent and the first line is: ‘yeah I was born a misfit, grew up 10 miles from the…",positive
68,"RT @theSATHYAGRAHI: He came as jr artist
then becm Villain
then becm multistarrer hero
then becm Hero
then becm Boss of Box office
then bec…",neutral
69,"RT @lakhsmi_anand: Our hero our inspiration our dear brother @Siva_Kartikeyan who always reciprocates the love 🙏
#NammaVeettuPillaiSK https…",positive
70,"RT @Omambala_Chuks: #RT NkemdiMary ""RT IgboNative: South East governors are the greatest enemies of our people,  first the resisted our 30t…",positive
71,RT @swamilion: Nation wide manhunt against Dr Swamy - he entered parliament still and broke that long nose of Indira  and escaped unscathed…,positive
72,"@sorafirstlove @BTS_twt I love everything about him, he is my hero. I love his style, his personality, his beautifu… https://t.co/IFu5TCnJ8h",positive
73,@hero_fiennes Stop😭💔,positive
74,RT @faerieqwen: Guys apparently Jacqueline daughter Mia is a huge fan of Vic's. She was one of the original KV though..also she is deleting…,negative
75,"RT @Dylanwangchina2: Super Cute 🐯
Didi is in Marvel Movie Cosmic Hero Special Exhibition in Shanghai
 #dylanwang #wanghedi https://t.co/1qa…",positive
76,RT @Kuyeh_Red: After all those campaign againts Zakir Naik from malaysiakini and now Pooof! A new frickin “hErO” shit has appeared! Double…,neutral
77,"If I can make it through today without crying, then I'll be a damn super hero",positive
78,"@esmuellert_ @lewy_official This our hero in bayern
The end for you clown https://t.co/kttne6qLPm",positive
79,RT @rolesvilleNC1: Proud to partner with @RaleighWake and @waketechcc to bring great educational opportunities for businesses to Rolesville…,positive
80,My hero is  SHRIMP! man who can teleport,positive
81,"@jidk1187 A real American Hero 
Thank you for sharing your dads story ,loved it",positive
82,"RT @nenshi: When we talk water safety in #yyc, Carol Henke with the Calgary Fire Department is often the one leading the conversation. Toda…",positive
83,RT @ClickHole: PR Nightmare: Make-A-Wish Accidentally Sent A Costumed Hero Named Terminally Ill Spider-Man To A Healthy Kid’s House And Ask…,positive
84,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
85,"RT @shona9493: Yehhhh. Finally boy came online. Thank god. I was missing you so much. 😭❤️

Aur kya dikh raha hai mera hero. Damn. 🔥🔥First i…",negative
86,RT @alydixon262: Hey @stewartdonald3 I'm running the Great North Run dressed as Wonder Woman to try and break the World Record for the fast…,positive
87,"RT @PatTheBerner: Nina Turner works her ass off every day to make life better for people.

Neera Tanden works her ass off every day to make…",positive
88,@Kuyeh_Red @HilalAsyraf Dong Zong is TruE hEro,positive
89,"RT @goonereol: Read it as : 
""Arey bhai please someone tell Chidambaram to surrender. Yaha humlogo ka defend karna impossible hote ja raha…",negative
90,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
91,"RT @Online_SkFc: Here the special tag for our annan(our hero, our inspiration, our motivator) 🎆🏆

#NammaVeettuPillaiSK  🌟😍

Lets celebrate…",positive
92,"""It was awe-inspiring to read how his faith and braveness grew as he met Jesus and his older brother, Shane, a brot… https://t.co/FdDamcR182",positive
93,"RT @mugendaiyo: Of course I don't see the problem with Hero, I am the problem with Hero. https://t.co/myAbAAjxGF",positive
94,RT @TreyMike: Every hero doesn’t wear a cape ✊🏾 https://t.co/tCSWvFgcvt,positive
95,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
96,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
97,"On a lesser note, can someone tell me where I can find a pair of boots like this 😔😔 please https://t.co/9rjAxe6ZZ6",negative
98,"RT @MUnitedChris: Paul Labile Pogba 🇫🇷

One of the most entertaining players in the world and a current world cup winner. He'll come back s…",positive
99,"RT @alikeskin_tr: This is the name of the Hero Turkish soldier you see; Ömer Halisdemir. On 15 July 2016, he was martyred by preventing the…",neutral
100,"Wishing you a super birthday and a great year ahead, super boss and the spearheading hero of the @ChennaiIPL 

Happy birthday Russ, @russcsk",positive
